numCinema;nomCinema;adresseCinema;situationGeographique;nbEcrans;nbFauteuils;nbSemainesActivite;nbSeances;nbEntrees2020;nbEntrees2019;evolutionEntrees;trancheEntrees;proprietaireCinema;programmateurCinema;AE;categorieAE;labelAE;genre;multiplexe;nbFilmsProgrammes;nbFilmsInedits;nbFilmsSemaine1;PdMentreesFilmsFR;PdMentreesFilmsUSA;PdMentreesFilmsEUR;PdMentreesFilmsAutres;nbFilmsAE;PdMentreesFilmsAE;latitude;longitude;geolocalisation;ancienneRegion;numCommune;nouvelleRegion
55;ELYSEES LINCOLN;14 RUE LINCOLN;01-Paris;3;448;29;2742;19379;49579;-0,609128865;De 10 à 20 000 entrées;STUDIO DU DRAGON;;OUI;A;RD;FIXE;NON;75;59;53;48,82847702;5,617302493;26,36427356;19,18994693;61;87,62891759;48.870512;2.303157;48.870512, 2.303157;Ile-de-France;75108;Ile-de-France
204;UGC OPERA;32 BD DES ITALIENS;01-Paris;4;760;31;3422;55232;178752;-0,691013247;De 50 à 80 000 entrées;UGC SAS;UGC DIFFUSION;NON;NON;;FIXE;NON;64;41;41;47,16468714;42,30156431;10,49210603;0,041642526;33;53,34226535;48.871332;2.335302;48.871332, 2.335302;Ile-de-France;75109;Ile-de-France
301;MAX LINDER;24 BD POISSONNIERE;01-Paris;1;591;31;852;37409;421267;-0,911198836;De 30 à 40 000 entrées;PARAFRANCE COMMUNICATION;;OUI;A;;FIXE;NON;80;12;8;6,97058738;49,98399907;35,58607046;7,459343089;64;53,67294097;48.871363;2.344886;48.871363, 2.344886;Ile-de-France;75109;Ile-de-France
451;UGC MONTPARNASSE;83 BD DU MONTPARNASSE;01-Paris;7;1592;31;6061;124223;356071;-0,651128567;De 100 à 150 000 entrées;UGC SAS;UGC DIFFUSION;NON;NON;;FIXE;NON;101;68;63;43,58109209;38,32192339;15,69030155;2,406682967;45;39,64221679;48.84351;2.325646;48.84351, 2.325646;Ile-de-France;75106;Ile-de-France
731;MK2 ODEON COTE SAINT-GERMAIN;113 BD ST GERMAIN;01-Paris;5;678;31;5946;101335;145188;-0,302042869;De 100 à 150 000 entrées;PARAFRANCE COMMUNICATION;SA MK2 VISION;NON;NON;;FIXE;NON;67;62;58;55,90664627;24,3213105;13,33991217;6,43213105;48;68,84195984;48.852437;2.338266;48.852437, 2.338266;Ile-de-France;75106;Ile-de-France
891;ST GERMAIN DES PRES;22 RUE GUILLAUME APOLLINAIRE;01-Paris;1;252;11;250;5017;56566;-0,911307146;De 5 à 10 000 entrées;CINEMA LE BILBOQUET;;OUI;A;;FIXE;NON;31;11;0;58,82001196;8,331672314;10,84313335;22,00518238;25;76,87861272;48.85467;2.333052;48.85467, 2.333052;Ile-de-France;75106;Ile-de-France
1393;LE BRADY;39 BOULEVARD DE STRASBOURG;01-Paris;2;139;31;2785;34632;3631;8,537868356;De 30 à 40 000 entrées;SOCIETE THEATRE LE BRADY;;OUI;A;RDJPPR;FIXE;NON;234;60;1;46,50728427;15,92890051;16,05653094;21,50728427;174;84,70613871;48.871771;2.355398;48.871771, 2.355398;Ile-de-France;75110;Ile-de-France
1681;UGC CINE CITE LES HALLES;101 RUE BERGER;01-Paris;27;3894;31;36212;1082659;36968;28,28638282;De 1 à 1,5 million d'entrées;UGC CINE CITE ILE DE FRANCE;UGC DIFFUSION;NON;NON;;FIXE;OUI;372;221;217;38,95595129;37,70134595;14,58415993;8,758542829;207;50,51937614;48.861424;2.345829;48.861424, 2.345829;Ile-de-France;75101;Ile-de-France
7231;CHAPLIN SAINT LAMBERT;6 RUE PECLET;01-Paris;3;363;30;2923;38484;42191;-0,08786234;De 30 à 40 000 entrées;CINEMA CHAPLIN;;OUI;A;JP;FIXE;NON;208;108;1;57,83341669;24,9816117;10,24154874;6,943422872;145;70,84056607;48.843204;2.298558;48.843204, 2.298558;Ile-de-France;75115;Ile-de-France
8331;UGC DANTON;99 BD ST GERMAIN;01-Paris;4;684;31;3877;70774;512221;-0,861829171;De 50 à 80 000 entrées;UGC SAS;UGC DIFFUSION;NON;NON;;FIXE;NON;61;55;37;49,71601122;29,11352362;14,48270904;6,687756129;33;63,62930477;48.852138;2.338995;48.852138, 2.338995;Ile-de-France;75106;Ile-de-France
